iter	Passed	Remaining
929	31197	35893
930	31230	35860
931	31265	35828
932	31297	35792
933	31330	35758
934	31365	35725
935	31396	35690
936	31431	35657
937	31465	35625
938	31498	35591
939	31531	35556
940	31563	35521
941	31595	35486
942	31628	35451
943	31660	35417
944	31692	35381
945	31727	35349
946	31762	35317
947	31794	35282
948	31828	35248
949	31860	35214
950	31894	35181
951	31927	35147
952	31962	35114
953	31993	35079
954	32026	35044
955	32058	35009
956	32091	34975
957	32123	34940
958	32157	34906
959	32188	34871
960	32221	34837
961	32257	34805
962	32289	34770
963	32320	34734
964	32354	34701
965	32387	34667
966	32420	34633
967	32453	34599
968	32485	34564
969	32519	34530
970	32552	34497
971	32586	34464
972	32619	34429
973	32653	34396
974	32687	34363
975	32719	34328
976	32755	34297
977	32788	34263
978	32820	34228
979	32854	34195
980	32887	34161
981	32921	34127
982	32953	34093
983	32985	34058
984	33017	34023
985	33050	33989
986	33089	33960
987	33123	33927
988	33155	33893
989	33188	33858
990	33220	33824
991	33254	33790
992	33285	33755
993	33318	33720
994	33350	33685
995	33386	33654
996	33418	33619
997	33452	33586
998	33484	33551
999	33517	33517
1000	33550	33483
1001	33584	33450
1002	33616	33415
1003	33649	33381
1004	33681	33345
1005	33712	33310
1006	33744	33275
1007	33776	33240
1008	33809	33206
1009	33842	33172
1010	33876	33138
1011	33909	33105
1012	33941	33070
1013	33972	33034
1014	34005	33000
1015	34038	32966
1016	34070	32931
1017	34102	32896
1018	34135	32862
1019	34167	32827
1020	34199	32792
1021	34232	32759
1022	34265	32724
1023	34299	32691
1024	34341	32666
1025	34374	32632
1026	34406	32597
1027	34439	32563
1028	34472	32529
1029	34505	32495
1030	34537	32460
1031	34571	32427
1032	34603	32392
1033	34637	32359
1034	34669	32325
1035	34701	32289
1036	34733	32254
1037	34765	32219
1038	34796	32184
1039	34830	32150
1040	34862	32116
1041	34893	32080
1042	34926	32046
1043	34959	32012
1044	34992	31978
1045	35023	31943
1046	35055	31908
1047	35087	31873
1048	35119	31838
1049	35152	31804
1050	35184	31770
1051	35216	31735
1052	35250	31702
1053	35283	31667
1054	35316	31634
1055	35348	31599
1056	35383	31567
1057	35415	31532
1058	35448	31499
1059	35480	31463
1060	35513	31429
1061	35544	31394
1062	35577	31360
1063	35609	31325
1064	35640	31290
1065	35673	31256
1066	35706	31222
1067	35742	31190
1068	35774	31156
1069	35808	31123
1070	35840	31088
1071	35872	31054
1072	35904	31019
1073	35935	30983
1074	35967	30948
1075	36000	30915
1076	36033	30881
1077	36065	30846
1078	36098	30812
1079	36129	30776
1080	36160	30741
1081	36194	30708
1082	36227	30674
1083	36261	30641
1084	36294	30607
1085	36327	30574
1086	36361	30540
1087	36393	30506
1088	36425	30471
1089	36457	30436
1090	36490	30402
1091	36522	30368
1092	36554	30333
1093	36586	30298
1094	36619	30265
1095	36651	30231
1096	36684	30197
1097	36716	30162
1098	36751	30130
1099	36783	30095
1100	36815	30060
1101	36846	30025
1102	36879	29991
1103	36911	29956
1104	36944	29923
1105	36975	29888
1106	37007	29853
1107	37040	29819
1108	37072	29785
1109	37104	29750
1110	37137	29716
1111	37169	29682
1112	37202	29648
1113	37236	29615
1114	37269	29581
1115	37302	29548
1116	37335	29514
1117	37368	29480
1118	37399	29445
1119	37432	29411
1120	37464	29376
1121	37498	29343
1122	37531	29309
1123	37564	29275
1124	37597	29242
1125	37630	29208
1126	37663	29175
1127	37696	29141
1128	37730	29108
1129	37762	29073
1130	37794	29039
1131	37827	29005
1132	37862	28973
1133	37894	28938
1134	37926	28903
1135	37958	28869
1136	37992	28836
1137	38025	28802
1138	38057	28768
1139	38090	28734
1140	38122	28700
1141	38155	28666
1142	38186	28631
1143	38218	28597
1144	38251	28563
1145	38284	28529
1146	38317	28495
1147	38350	28462
1148	38384	28429
1149	38416	28394
1150	38448	28360
1151	38480	28325
1152	38511	28290
1153	38544	28257
1154	38577	28223
1155	38610	28189
1156	38642	28155
1157	38676	28122
1158	38708	28088
1159	38741	28054
1160	38774	28020
1161	38806	27986
1162	38838	27951
1163	38872	27919
1164	38906	27885
1165	38940	27853
1166	38973	27818
1167	39005	27784
1168	39038	27751
1169	39071	27717
1170	39103	27682
1171	39135	27648
1172	39168	27614
1173	39201	27581
1174	39234	27547
1175	39268	27514
1176	39299	27479
1177	39332	27445
1178	39365	27412
1179	39398	27378
1180	39430	27344
1181	39462	27309
1182	39494	27275
1183	39528	27242
1184	39560	27208
1185	39595	27176
1186	39627	27141
1187	39659	27107
1188	39692	27073
1189	39725	27040
1190	39760	27007
1191	39792	26973
1192	39826	26940
1193	39860	26907
1194	39893	26874
1195	39926	26840
1196	39959	26806
1197	39991	26772
1198	40024	26738
1199	40057	26705
1200	40089	26670
1201	40120	26635
1202	40153	26602
1203	40188	26569
1204	40222	26537
1205	40256	26504
1206	40290	26470
1207	40322	26436
1208	40356	26403
1209	40388	26369
1210	40419	26334
1211	40452	26300
1212	40484	26266
1213	40516	26232
1214	40548	26198
1215	40580	26163
1216	40614	26130
1217	40645	26095
1218	40678	26062
1219	40710	26027
1220	40742	25993
1221	40774	25959
1222	40808	25926
1223	40841	25893
1224	40874	25859
1225	40906	25825
1226	40938	25790
1227	40970	25756
1228	41002	25722
1229	41036	25689
1230	41069	25655
1231	41102	25622
1232	41135	25588
1233	41166	25554
1234	41199	25520
1235	41231	25486
1236	41264	25452
1237	41296	25418
1238	41330	25385
1239	41362	25351
1240	41395	25317
1241	41426	25282
1242	41458	25248
1243	41490	25214
1244	41522	25180
1245	41555	25146
1246	41587	25112
1247	41619	25078
1248	41651	25044
1249	41684	25010
1250	41716	24976
1251	41750	24943
1252	41782	24909
1253	41814	24875
1254	41846	24841
1255	41879	24807
1256	41912	24773
1257	41943	24739
1258	41975	24705
1259	42008	24671
1260	42041	24638
1261	42072	24603
1262	42105	24569
1263	42137	24535
1264	42169	24501
1265	42202	24468
1266	42234	24433
1267	42267	24400
1268	42301	24367
1269	42333	24333
1270	42367	24300
1271	42399	24266
1272	42432	24232
1273	42464	24198
1274	42497	24165
1275	42529	24130
1276	42560	24096
1277	42592	24062
1278	42625	24028
1279	42657	23995
1280	42690	23961
1281	42724	23928
1282	42757	23894
1283	42790	23861
1284	42823	23827
1285	42856	23794
1286	42888	23760
1287	42922	23727
1288	42954	23693
1289	42986	23659
1290	43018	23624
1291	43050	23591
1292	43081	23556
1293	43115	23523
1294	43147	23489
1295	43180	23456
1296	43215	23423
1297	43247	23389
1298	43279	23355
1299	43311	23321
1300	43344	23287
1301	43377	23254
1302	43410	23221
1303	43443	23187
1304	43475	23153
1305	43506	23119
1306	43539	23085
1307	43573	23052
1308	43605	23018
1309	43639	22985
1310	43678	22955
1311	43711	22921
1312	43744	22888
1313	43776	22854
1314	43810	22821
1315	43844	22788
1316	43878	22755
1317	43911	22721
1318	43943	22688
1319	43975	22653
1320	44008	22620
1321	44041	22587
1322	44073	22553
1323	44106	22519
1324	44142	22487
1325	44175	22454
1326	44206	22419
1327	44239	22386
1328	44270	22351
1329	44304	22318
1330	44336	22285
1331	44369	22251
1332	44400	22217
1333	44433	22183
1334	44466	22149
1335	44498	22116
1336	44530	22081
1337	44562	22047
1338	44594	22014
1339	44627	21980
1340	44660	21947
1341	44694	21914
1342	44729	21882
1343	44763	21849
1344	44795	21814
1345	44828	21781
1346	44859	21747
1347	44892	21713
1348	44926	21680
1349	44957	21646
1350	44989	21612
1351	45021	21578
1352	45054	21545
1353	45088	21511
1354	45120	21478
1355	45155	21445
1356	45188	21412
